Address,PatternWritten,ReadbackValues,Tags
0x00000008,116532CC,"eeb6c27c8|eeb6c5e4e|eeb6c5e4e|eeb6c5e4e|eeb6c5e4e","FAIL|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)|NEAR-LAG-1 (exp:C74B5E4E,hd:7)"
0x00000008,22CD0CD0,"eeb6c5e4e|eeb6c32cc|eeb6c32cc|eeb6c32cc|eeb6c32cc","NEAR-LAG-2 (exp:C74B5E4E,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000008,E51AAF27,"eeb6c32cc|eeb6c0cd0|eeb6c0cd0|eeb6c0cd0|eeb6c0cd0","FAIL|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|NEAR-LAG-1 (exp:22CD0CD0,hd:7)|NEAR-LAG-1 (exp:22CD0CD0,hd:7)"
0x00000008,3ED53DC5,"eeb6c0cd0|eeb6caf27|eeb6caf27|eeb6caf27|eeb6caf27","NEAR-LAG-2 (exp:22CD0CD0,hd:7)|FAIL|FAIL|FAIL|FAIL"
0x00000008,BFB7D7D7,"eeb6caf27|eeb6c3dc5|eeb6c3dc5|eeb6c3dc5|eeb6c3dc5","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,D6D3916F,"eeb6c3dc5|eeb6cd7d7|eeb6cd7d7|eeb6cd7d7|eeb6cd7d7","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,345CAD84,"eeb6cd7d7|eeb6c916f|eeb6c916f|eeb6c916f|eeb6c916f","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000008,EB6CD0F4,"eeb6c916f|eeb6cad84|eeb6cad84|eeb6cad84|eeb6cad84","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000100,00000000,"eeb6cad84|eeb6cd0f4|eeb6cd0f4|eeb6cd0f4|eeb6cd0f4","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000100,FFFFFFFF,"00000d0f4|000000000|fffff0000|fffff0000|fffff0000","FAIL|LAG-1 (exp:00000000)|FAIL|FAIL|FAIL"
0x00000100,AAAAAAAA,"fffff0000|00000ffff|fffffffff|fffffffff|fffffffff","FAIL|FAIL|LAG-1 (exp:FFFFFFFF)|LAG-1 (exp:FFFFFFFF)|LAG-1 (exp:FFFFFFFF)"
0x00000100,55555555,"fffffffff|00000aaaa|fffffaaaa|fffffaaaa|fffffaaaa","LAG-2 (exp:FFFFFFFF)|FAIL|FAIL|FAIL|FAIL"
0x00000100,DEADBEEF,"fffffaaaa|000005555|fffff5555|fffff5555|fffff5555","FAIL|FAIL|FAIL|FAIL|FAIL"
0x00000100,CAFEBABE,"fffff5555|00000beef|fffffbeef|fffffbeef|fffffbeef","FAIL|FAIL|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)"
0x00000100,12345678,"fffffbeef|00000babe|fffffbabe|fffffbabe|fffffbabe","NEAR-LAG-2 (exp:DEADBEEF,hd:5)|FAIL|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:CAFEBABE,hd:5)"
0x00000100,87654321,"fffffbabe|000005678|fffff5678|fffff5678|fffff5678","NEAR-LAG-2 (exp:CAFEBABE,hd:5)|NEAR-LAG-1 (exp:12345678,hd:5)|FAIL|FAIL|FAIL"
0x00000100,F0F0F0F0,"fffff5678|000004321|fffff4321|fffff4321|fffff4321","FAIL|NEAR-LAG-8 (exp:00000000,hd:5)|FAIL|FAIL|FAIL"
0x00000100,0F0F0F0F,"fffff4321|00000f0f0|ffffff0f0|ffffff0f0|ffffff0f0","FAIL|FAIL|FAIL|FAIL|FAIL"
